.100,0.54,0.6
.120,0.53,0.54
.140,0.42,0.53
.160,0.63,0.52
.180,0.74,0.6
.200,0.82,0.54
.230,0.94,0.53
.240,0.93,0.52
.300,0.94,0.6
.320,0.82,0.54
.340,0.84,0.53
.110,0.73,0.52
.130,0.62,0.6
.140,0.73,0.54
.170,0.64,0.53
.190,0.73,0.52
.210,0.64,0.6
.230,0.52,0.54
.250,0.54,0.53
.270,0.53,0.52
.290,0.62,0.6
.300,0.53,0.54
.310,0.74,0.53
.330,0.53,0.52
.340,0.74,0.6
.350,0.62,0.54
.360,0.74,0.53
.315,0.53,0.52
.310,0.42,0.6
.215,0.35,0.54
.220,0.54,0.53
.240,0.63,0.52
.250,0.64,0.6
.260,0.72,0.54
.265,0.74,0.53
